Blog	four	second	here	reported	k	music	until	example	want	travel	feature	how	wrong	series	re	wasn	service	needed	listen	project	person	saying	release	result	best	asked	much	life	worked	things	had	easy	has	possible	right	old	people	support	happy	inside	ddos	time	team	sign	current	understanding	along	love	working	following	so	course	didn	internet	million	quite	massive	one	vote	open	city	future	turned	say	note	take	knew	ways	going	where	many	photos	former	technology	being	around	traffic	world	power	side	image	her	october	am	an	original	tv	th	case	large	small	past	hours	social	via	single	company	learn	sense	its	always	found	really	major	obama	self	also	play	sometimes	set	see	movie	available	last	whole	community	recent	amp	readers	couple	d	continue	be	anything	clinton	into	link	line	posted	up	us	ago	came	having	try	video	let	great	makes	tools	next	process	high	move	presidential	doing	could	put	start	system	haven	face	fact	bring	should	hope	means	stuff	email	co	ve	off	less	web	five	become	does	problem	chance	worth	told	total	work	after	order	then	them	they	network	created	another	do	away	com	information	voice	hand	photo	thanks	board	night	security	comments	post	months	way	true	update	together	change	live	car	write	product	remember	still	non	half	now	domain	year	space	looking	shows	care	directly	friend	than	online	america	only	between	article	comes	learning	these	media	real	read	early	using	business	your	aren	lot	building	since	month	very	learned	family	ask	takes	site	history	tried	help	soon	actually	event	reason	american	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	friends	user	game	some	run	step	seeing	within	himself	similar	doesn	e	go	facebook	click	win	started	control	including	him	special	completely	keep	powerful	such	data	attack	final	need	able	anyway	based	years	she	computer	state	key	group	well	lost	page	twitter	home	he	stories	piece	skills	companies	across	likely	even	tips	ever	never	campaign	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	mean	content	reader	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	save	deal	popular	down	drive	finally	me	did	useful	visit	making	may	man	maybe	talk	nbsp	interesting	policy	morning	earlier	thing	think	first	long	little	anyone	hillary	were	especially	show	sites	enough	black	get	behind	reading	according	mark	those	different	pay	same	running	money	either	trying	images	videos	youtube	again	important	u	starting	issues	public	search	published	two	particular	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	common	simple	simply	create	understand	itself	spent	source	big	bit	google	often	back	giving	access	others	private	links	account	bunch	ll	instead	day	announced	text	taking	value	almost	thought	add	works	actual	buy	minutes	under	every	enjoy	changes	york	would	phone	my	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	talking	though	watch	report	full	news	conference	been	quickly	experience	several	gave	which	donald	election	everything	hear	no	focus	cool	level	posts	says	goes	today	trump	figure	huge	happened	name	turn	place	any	ideas	sure	later	written	outside	come	myself	someone	check	week	without	when	seems	blog	or	there	longer	wife	all	program	woman	far	list	design	version	known	short	might	wouldn	number	friday	feel	story	store	kind	nothing	part	his	hit	wrote	art	recently	creating	attention	c	reasons	due	know	questions	customers	question	fast	called	nice	users	problems	once	apple	app	use	few	women	something	looks	related	our	out	latest	conversation	their	who	why	please	debate	thousands	ones	words	view	will	perhaps	gets	difficult	point	other	because	getting	own	apps	made	whether	below	book
43 Folders	5	8	28	1	2	0	15	0	26	1	1	60	6	0	48	2	3	3	3	3	8	11	0	2	14	1	37	32	5	55	26	5	28	5	24	10	54	3	6	2	0	46	2	0	1	7	1	15	7	2	75	2	8	3	0	5	1	47	0	4	0	8	3	21	4	10	2	5	7	20	20	0	0	3	17	10	2	13	7	4	0	17	3	14	45	2	4	1	3	3	2	8	4	1	1	6	2	11	4	9	20	1	77	4	0	9	27	6	15	3	18	1	5	13	4	0	2	11	2	7	45	4	96	14	0	21	2	3	15	45	21	3	1	11	18	14	17	14	5	5	3	2	0	1	0	16	24	3	11	4	3	5	9	0	16	20	11	27	11	0	40	13	16	10	4	12	5	15	3	5	6	3	59	10	8	25	22	48	4	0	10	74	7	17	6	4	3	2	13	0	5	0	0	2	4	36	9	4	3	13	8	3	3	4	6	20	9	9	41	0	14	1	2	0	27	2	5	36	1	1	22	3	4	5	6	24	2	19	43	4	8	8	83	4	39	3	5	2	29	3	4	9	4	2	0	2	30	5	14	4	5	2	7	11	2	4	2	10	8	8	7	2	5	10	6	5	0	2	28	6	4	3	2	2	1	18	3	21	1	2	0	2	3	8	12	5	1	10	0	6	3	0	0	21	1	5	2	16	29	0	0	2	0	24	1	4	4	6	39	2	0	2	2	0	4	50	5	26	26	0	17	8	4	1	2	0	13	4	27	1	2	7	1	4	0	2	8	1	46	47	11	6	18	14	4	0	3	1	59	45	2	70	4	13	6	2	2	2	9	0	6	82	13	11	4	11	15	7	14	22	1	2	0	7	2	33	31	29	21	28	14	0	16	8	4	0	15	1	50	2	13	0	3	27	7	3	9	4	5	7	10	0	0	0	10	13	0	5	0	1	0	1	10	3	4	4	1	7	26	8	2	16	6	10	11	9	2	41	3	10	0	7	11	0	14	6	2	1	25	7	2	19	25	3	0	4	4	2	1	2	37	4	16	0	4	1	3	13	10	1	0	9	5	7	20	12	5	4	1	20	1	188	3	7	29	4	13	0	2	8	5	7	13	2	14	2	4	2	6	0	7	1	3	31	2	4	2	2	45	1	0	12	8	37	3	3	3	2	13	10	13	0	4	7	2	3	5	7	38	3	10	5	16	5	5	8	7	2	11	12	30	2	5	105	33	1	4	58	0	2	7	3	10	3	2	3	16	4	9	2	7	6	0	9	7	17	28	3	2	3	1	0	9	0	2	2	40	0	3	3	2	3	15	5	3	4	1	8	11	13	0	23	3	3	35	44	0	1	19	70	32	16	0	2	2	1	4	53	3	13	2	21	22	57	11	13	5	28	14	0	25
Autoblog	0	0	5	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	4	0	0	0	0	0	0	0	2	3	5	0	1	0	1	0	0	0	0	4	0	12	0	2	6	0	0	0	1	0	0	0	0	1	0	0	9	0	0	0	0	0	6	3	0	0	0	40	3	0	0	0	0	0	3	0	0	0	39	1	0	0	2	0	0	0	13	6	0	0	0	0	3	0	0	3	0	12	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	1	0	39	3	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	39	0	0	3	0	0	3	0	0	17	0	0	0	0	0	0	2	0	5	1	1	0	1	0	0	2	0	0	1	1	0	0	0	4	0	3	0	3	0	0	3	0	0	0	0	3	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	3	0	0	5	0	0	0	0	0	4	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	3	3	0	0	0	0	39	1	0	2	0	0	0	1	1	0	0	0	0	1	10	0	0	0	0	0	0	1	0	0	0	156	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	1	1	39	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	39	0	0	0	0	3	0	0	0	3	2	0	0	9	0	0	0	0	2	0	6	0	0	0	0	4	1	3	0	0	0	0	0	3	1	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	3	0	0	4	0	1	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	6	0	0	1	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	3	0	39	0	0	3	3	0	40	3	1	0	0	1	3	39	0	0	0	0	0	14	1	1	0	1	2	0	0	3	0	0	0	0	0
Daily Kos	12	2	26	6	1	0	14	4	11	0	0	19	1	6	28	2	1	3	5	1	26	7	1	5	7	7	15	5	3	10	34	2	67	4	9	6	42	18	3	1	0	24	1	14	3	0	2	1	4	4	35	1	6	2	19	2	3	40	28	5	6	4	5	14	3	24	2	3	12	41	26	0	10	1	13	6	2	18	12	8	0	24	7	9	42	1	3	5	9	4	3	8	3	4	2	3	4	0	0	17	1	4	8	3	25	6	21	1	3	4	12	0	3	20	6	2	4	2	2	2	11	2	65	3	33	19	1	10	0	53	11	10	4	5	6	7	9	6	1	0	9	4	6	1	13	1	25	3	2	7	4	5	3	8	9	4	3	3	2	3	10	19	8	0	7	1	7	3	7	3	8	4	10	17	4	19	22	59	6	2	18	15	9	1	3	6	6	0	3	5	12	0	4	7	4	9	2	0	0	5	22	14	2	1	1	18	3	8	23	0	20	0	2	4	4	2	0	27	7	12	18	8	0	3	0	30	4	7	8	11	4	1	21	2	6	0	18	9	4	0	10	4	5	1	3	2	18	5	7	5	1	8	8	7	8	9	7	10	7	11	1	9	10	18	4	4	0	3	24	2	3	0	1	4	3	5	3	11	1	8	10	6	5	6	17	1	4	5	2	2	4	3	5	11	2	1	1	15	27	1	36	8	7	7	5	2	2	8	107	3	1	0	1	4	4	17	0	3	4	35	7	3	1	0	0	25	11	5	8	11	2	2	5	0	6	1	23	5	19	6	9	3	4	32	16	0	11	3	39	36	4	35	2	2	12	4	3	1	15	1	2	6	12	0	2	5	6	9	1	3	0	0	5	6	2	5	8	12	9	10	0	18	20	3	21	0	5	13	31	6	2	11	3	8	2	4	5	6	4	1	11	0	0	10	4	2	13	2	4	18	0	2	21	2	0	8	3	9	12	1	22	6	3	10	1	3	1	13	8	6	2	0	5	1	0	1	5	2	1	5	1	6	10	2	6	7	3	0	0	0	12	2	28	4	1	4	0	6	2	2	1	1	0	3	7	8	2	2	4	24	6	12	13	18	24	1	15	1	9	3	4	6	5	6	7	4	3	5	7	4	8	12	1	31	3	3	8	1	32	46	54	5	3	49	4	0	0	0	10	0	9	132	3	1	2	2	7	7	16	4	17	4	0	3	6	2	3	7	11	7	29	1	1	37	26	6	4	48	2	8	11	7	0	1	2	3	10	3	4	4	3	4	0	7	8	7	102	3	5	1	5	1	7	2	1	2	11	0	2	1	2	12	2	0	3	4	0	0	5	4	19	5	2	0	35	45	5	3	47	39	8	2	24	3	0	2	1	46	2	3	2	9	17	17	8	10	0	6	4	13	2
Google Blogoscoped	0	1	2	0	0	0	0	0	2	0	2	5	1	0	5	0	6	1	0	0	0	0	2	0	4	1	4	0	0	1	3	1	1	1	1	0	3	0	0	0	0	4	0	0	1	0	0	2	2	0	7	0	0	0	0	0	1	13	1	2	0	1	1	0	1	1	0	0	2	1	0	0	0	1	0	2	0	1	0	1	0	0	1	1	5	0	0	0	1	0	1	2	0	0	2	1	0	0	0	1	2	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0	2	0	4	0	0	3	1	0	0	3	1	1	0	0	0	0	2	0	1	0	1	2	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	1	4	3	0	0	0	0	0	0	0	1	0	0	3	4	7	0	0	2	3	0	0	0	0	1	1	1	0	0	0	1	2	0	1	1	0	1	1	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	0	0	2	0	4	0	8	1	0	0	0	0	1	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	2	2	0	1	1	2	1	2	2	3	1	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	7	2	2	0	0	1	2	0	0	0	0	2	1	4	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	0	4	2	0	0	0	2	0	0	0	1	8	3	1	6	0	0	1	0	0	0	1	0	0	4	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	1	1	1	1	0	0	5	0	1	0	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	3	1	3	0	1	0	1	0	0	0	4	0	0	28	1	3	0	0	1	0	2	1	0	6	0	3	0	1	0	0	0	0	3	0	0	0	0	0	1	0	1	0	11	4	7	1	0	1	0	3	0	0	2	0	0	1	1	2	1	0	3	0	0	2	1	0	4	1	0	1	1	5	0	0	0	1	6	0	0	0	1	1	1	1	0	0	0	0	2	0	2	3	0	0	2	0	0	1	0	1	0	0	0	4	0	1	7	5	1	0	5	0	0	0	1	1	0	0	0	0	2	5	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0	4	1	1	1	0	0	1	0	4	3	1	0	2	0	0	3	2	0	0	4	5	0	0	0	0	0	0	2	1	2	0	0	0	4	5	0	0	6	2	1	1	0
Deadspin	0	0	2	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	2	2	0	5	0	1	0	0	0	1	1	8	0	0	0	0	1	0	0	1	4	7	0	0	0	0	0	0	2	2	1	2	3	1	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	3	3	0	5	0	0	0	5	0	0	9	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	1	0	0	0	2	0	1	0	1	0	1	2	0	0	0	0	0	1	0	0	5	2	0	6	0	0	0	5	5	2	0	1	0	0	2	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	3	0	3	1	1	0	0	5	1	0	0	0	0	1	0	0	1	2	0	4	0	1	0	2	0	0	0	3	2	1	0	0	0	0	0	0	2	0	0	1	4	6	0	0	0	0	0	2	0	1	0	0	0	0	3	1	2	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	1	25	0	0	0	6	0	1	0	0	2	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	2	0	0	1	0	7	0	1	0	0	0	2	0	0	0	4	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	3	0	2	0	0	0	0	0	1	0	5	0	0	2	0	0	0	4	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	2	2	0	0	1	0	3	1	2	1	0	0	0	0	1	1	1	0	1	2	0	0	0	1	0	0	1	1	0	0	1	0	3	3	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	2	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	2	0	0	0	1	0	0	1	0	2	0	2	0	0	1	1	0	1	1	0	0	0	1	3	0	2	2	0	1	0	1	0	1	0	1	0	5	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	4	0	1	1	0	2	0	0	1	0	1	0	2	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	0	2	0	1	2	0	4	1	0	3	5	1	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	0	0	1	2	2	1	0	0	0	1	1	0	0	2	0	0	1	2	0	2	2	0	6	3	0	0	2	5	1	0	0	0	0	1	0	3	0	0	0	2	0	1	0	2	0	4	0	2	0
The Dish	0	0	2	0	1	0	0	4	1	0	0	6	0	0	2	0	0	0	0	0	1	1	0	0	0	0	2	1	0	3	4	0	8	1	0	3	5	2	0	0	0	6	0	0	1	0	0	7	0	2	6	0	3	2	1	1	0	10	0	2	0	0	0	1	3	1	1	0	2	0	3	1	1	0	0	4	0	7	0	0	0	1	0	2	9	1	1	0	1	0	0	3	0	0	0	1	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	7	0	1	1	11	0	0	1	0	0	0	7	3	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	3	1	0	3	4	0	0	3	0	3	0	1	0	1	1	0	1	3	1	1	0	3	2	0	7	0	8	0	2	2	3	0	1	0	1	0	2	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	2	0	1	2	0	3	0	2	1	0	0	1	4	0	2	3	1	0	0	0	5	0	1	9	1	0	0	12	0	0	0	2	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	1	0	3	0	0	1	0	1	1	0	0	0	0	0	0	1	0	3	0	0	1	1	0	1	0	0	0	1	1	0	0	1	2	0	1	0	0	11	1	0	0	1	0	1	0	0	0	1	3	0	2	0	0	0	2	4	0	0	2	0	0	1	0	0	1	1	1	1	2	0	1	0	2	9	1	0	0	0	4	1	0	1	0	4	1	0	1	0	2	2	0	4	0	1	1	0	0	0	1	0	0	11	2	0	0	0	1	1	1	2	0	0	0	2	0	1	1	4	6	2	2	0	1	0	0	0	1	0	2	1	3	2	0	2	1	0	2	0	1	1	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	4	0	0	2	1	3	0	2	0	0	5	0	2	0	2	0	0	1	1	0	1	2	0	0	2	3	0	0	1	1	1	0	0	3	0	9	0	0	1	0	1	2	0	0	1	0	0	2	1	0	0	0	1	0	17	1	3	3	2	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	2	0	6	0	0	0	1	2	0	0	0	0	6	0	0	0	4	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	2	5	0	6	3	3	0	0	6	0	0	0	0	0	0	1	3	1	0	1	0	0	3	0	0	2	3	11	0	1	1	4	0	0	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	3	2	0	7	5	3	3	0	2	0	4	2	5	2	0	0	0	2	1	0	1	0	2	0	0	3
Go Fug Yourself	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	1	1	0	0	0	0	0	1	0	0	10	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	10	1	1	0	0	0	19	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	10	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	10	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	1
O'Reilly Radar	10	0	0	0	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0
MetaFilter	0	0	2	0	2	1	0	1	2	0	1	6	0	2	1	2	0	0	0	0	1	0	0	2	4	0	1	1	0	0	2	0	9	0	0	0	7	0	0	1	0	3	2	0	2	0	1	3	0	0	4	0	1	1	0	1	0	3	4	0	4	0	0	0	0	3	0	0	1	4	6	0	0	0	1	2	0	1	1	0	0	13	4	0	6	0	2	7	0	0	1	0	0	0	0	0	0	0	0	2	1	2	4	2	0	0	4	0	1	1	1	0	1	3	0	2	1	2	0	2	0	1	8	0	3	2	2	1	0	7	6	0	0	2	1	1	3	0	3	0	0	0	2	0	1	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	3	1	0	1	0	0	0	0	1	1	0	1	4	6	0	1	1	10	0	0	2	0	0	0	0	0	2	1	1	2	2	1	0	0	1	0	1	1	2	0	0	0	2	1	3	0	7	1	1	1	0	0	0	1	1	2	0	3	0	0	0	1	1	0	0	1	0	0	5	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	2	3	1	1	0	3	5	1	0	0	0	0	2	0	0	5	1	0	1	0	0	4	1	3	0	0	0	3	0	0	5	1	1	0	0	0	11	0	3	0	0	6	1	1	3	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	2	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	9	8	4	1	4	2	1	0	1	1	3	4	1	3	1	0	1	0	0	0	2	0	1	1	0	1	0	1	2	0	0	1	0	1	0	0	0	1	0	3	2	2	0	3	1	0	1	1	0	2	4	1	1	0	0	0	2	0	1	1	0	0	2	1	1	2	1	1	0	1	0	1	0	0	4	0	0	0	0	3	1	0	2	3	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	1	0	1	1	0	0	0	0	2	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	5	0	1	0	2	0	1	3	0	0	0	0	0	1	0	1	3	1	0	3	1	3	1	1	0	2	0	0	4	0	1	1	1	3	3	15	0	0	3	1	0	0	1	0	0	2	3	1	0	0	2	0	0	1	0	0	1	2	0	1	0	0	0	0	2	4	1	0	4	3	0	0	1	0	1	1	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	3	2	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	4	1	2	1	4	2	0	0	0	9	1	1	3	0	0	1	0	4	0	0	0	2	4	5	2	0	0	0	0	0	1
ReadWrite	1	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	2	0	0	1	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	2	1	0	2	1	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	2	0	10	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	1	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	2	2	0	1	0	0	0
